job_base,game,variant,variant_select,variant_simulation,variant_backprop,variant_finalmove,wins,games,winrate,avgMoves,moveTime,gamesPerMatchup,maxMoves,cpus,mem,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
planned_T953_5919285,Adhesion,UCB1 GRAVE | Random | Implicit Minimax | Robust,UCB1 GRAVE,Random,Implicit Minimax,Robust,16,30,0.5333333333333333,154.1,0.5,30,1000,4,7G,2,100,145,260,2,1,14,14,20,100,5.4,2.8,2.6,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T954_5919286,Affinage,UCB1 GRAVE | NST | Score Bounded | Proportional Exp,UCB1 GRAVE,NST,Score Bounded,Proportional Exp,13,30,0.43333333333333335,19.6,0.5,30,1000,4,7G,2,64,81,144,1,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T955_5919287,Allemande,UCB1 tuned | NST | MonteCarlo | Robust,UCB1 tuned,NST,MonteCarlo,Robust,20,30,0.6666666666666666,16.8,0.5,30,1000,5,7G,2,77,100,172,2,1,9,9,8,257,6.75,3.53,3.22,0,0,0,0,0,0,0,0,1,1,0,,,,,
planned_T956_5919288,Astralesce and Constellation,UCB1 GRAVE | MAST | MonteCarlo | MaxAvgScore,UCB1 GRAVE,MAST,MonteCarlo,MaxAvgScore,13,30,0.43333333333333335,15.4,0.5,30,1000,4,7G,2,61,150,210,2,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T957_5919289,Branching Coral,Progressive History | Random | MonteCarlo | Proportional Exp,Progressive History,Random,MonteCarlo,Proportional Exp,8,30,0.26666666666666666,30.8,0.5,30,1000,4,7G,2,48,121,168,4,1,8,8,6,50,9.12,5.0,4.12,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T958_5919290,Breakback,Progressive History | MAST | Score Bounded | Robust,Progressive History,MAST,Score Bounded,Robust,0,30,0.0,1000.0,0.5,30,1000,4,7G,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T959_5919291,Breakthrough Checkers,Progressive History | NST | Implicit Minimax | MaxAvgScore,Progressive History,NST,Implicit Minimax,MaxAvgScore,27,30,0.9,41.7,0.5,30,1000,4,7G,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T95_5918427,Tavli,McBRAVE | MAST | MonteCarlo | MaxAvgScore,McBRAVE,MAST,MonteCarlo,MaxAvgScore,8,30,0.26666666666666666,921.9,0.5,30,1000,4,7G,2,12,26,37,4,1,2,13,4,28,4.69,2.85,1.85,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T960_5919292,Breakthrough Chess,McBRAVE | Random | Score Bounded | MaxAvgScore,McBRAVE,Random,Score Bounded,MaxAvgScore,0,30,0.0,37.6,0.5,30,1000,4,7G,2,64,81,144,12,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T961_5919293,Chains of Thought,McBRAVE | MAST | Implicit Minimax | Proportional Exp,McBRAVE,MAST,Implicit Minimax,Proportional Exp,0,30,0.0,28.9,0.5,30,1000,4,7G,2,54,37,90,2,1,7,7,6,37,4.86,4.86,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
