job_base,game,variant,variant_select,variant_simulation,variant_backprop,variant_finalmove,wins,games,winrate,avgMoves,moveTime,gamesPerMatchup,maxMoves,cpus,mem,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
planned_T1281_5801090,Make Muster,Implicit Minimax | Random | AlphaGo | Robust,Implicit Minimax,Random,AlphaGo,Robust,6,10,0.6,39.5,0.2,10,1000,4,7G,2,45,64,108,2,1,9,9,12,45,6.22,3.2,3.02,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1284_5801093,Migration,Alpha-Beta | Random | Score Bounded | Robust,Alpha-Beta,Random,Score Bounded,Robust,3,10,0.3,136.2,0.2,10,1000,4,7G,2,49,64,112,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1285_5801094,Forge,Progressive History | NST | Heuristic | Proportional Exp,Progressive History,NST,Heuristic,Proportional Exp,4,10,0.4,106.3,0.2,10,1000,4,7G,2,35,48,82,2,2,8,6,4,48,6.33,3.42,2.92,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1287_5801096,Game of Dwarfs,McGRAVE | MAST | Heuristic | MaxAvgScore,McGRAVE,MAST,Heuristic,MaxAvgScore,0,10,0.0,10.1,0.2,10,1000,4,7G,2,4,8,16,2,3,4,4,2,9,4.0,4.0,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T1288_5801097,Double-Move Situ,UCB1 | NST | Score Bounded | Proportional Exp,UCB1,NST,Score Bounded,Proportional Exp,4,10,0.4,19.0,0.2,10,1000,4,7G,2,22,18,39,4,1,5,5,6,18,4.33,4.33,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T128_5799937,Neg Tugal Tuux,Progressive Widening | Random | AlphaGo | Robust,Progressive Widening,Random,AlphaGo,Robust,5,10,0.5,24.4,0.2,10,1000,4,7G,2,31,64,125,2,1,32,2,4,64,4.88,3.91,0.97,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1292_5801101,Xiangqi,Implicit Minimax | MAST | AlphaGo | MaxAvgScore,Implicit Minimax,MAST,AlphaGo,MaxAvgScore,6,10,0.6,338.1,0.2,10,1000,4,7G,2,72,90,161,14,1,10,9,4,90,6.78,3.58,3.2,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1293_5801102,Cage,McBRAVE | NST | AlphaGo | Proportional Exp,McBRAVE,NST,AlphaGo,Proportional Exp,0,10,0.0,135.5,0.2,10,1000,4,7G,2,144,169,312,2,1,12,12,4,144,7.03,3.67,3.36,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1295_5801104,Barca,UCB1 tuned | NST | Implicit Minimax | Proportional Exp,UCB1 tuned,NST,Implicit Minimax,Proportional Exp,0,10,0.0,887.2,0.2,10,1000,4,7G,2,100,121,220,6,1,10,10,4,100,6.84,3.6,3.24,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1296_5801105,Nzengue (Small),Progressive Widening | Random | MonteCarlo | Robust,Progressive Widening,Random,MonteCarlo,Robust,0,10,0.0,8.0,0.2,10,1000,4,7G,2,0,9,12,2,1,3,3,4,11,2.67,2.67,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
