variant_select,variant_simulation,variant_backprop,variant_finalmove,winrate,drawrate,score,n_timeouts,moveTime,maxMoves,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
UCB1 GRAVE,Random,Score Bounded,MaxAvgScore,0.5,0.0,0.5,0,0.2,2000,2,2,7,21,1,1,9,19,21,21,10.0,10.0,0.0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Progressive Widening,Random,MonteCarlo,Proportional Exp,0.34,0.0,0.34,0,0.5,2000,2,60,148,207,4,1,9,9,6,60,9.4,5.1,4.3,0,0,0,0,0,0,0,0,0,1,0,,,,,
Implicit Minimax,LGR,Score Bounded,MaxAvgScore,0.47,0.0,0.47,0,1.0,2000,2,60,148,207,4,1,9,9,6,60,9.4,5.1,4.3,0,0,0,0,0,0,0,0,0,1,0,,,,,
Alpha-Beta,Heuristic,Heuristic,Robust,0.02,0.0,0.02,0,2.0,2000,2,60,148,207,4,1,9,9,6,60,9.4,5.1,4.3,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1,Heuristic Sampling,AlphaGo,MaxAvgScore,0.34,0.05,0.365,0,0.2,2000,2,61,150,210,4,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive History,Random,Heuristic,MaxAvgScore,0.43,0.0,0.43,0,0.2,2000,2,150,91,240,2,2,11,11,6,91,5.27,5.27,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive History,HS Playout,Implicit Minimax,Proportional Exp,0.0,0.0,0.0,0,0.5,2000,2,61,150,210,3,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
Noisy AG0,PlayoutHS,Implicit Minimax,Proportional Exp,0.0,0.0,0.0,0,1.0,2000,2,61,150,210,4,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
McBRAVE,Random,Score Bounded,Robust,0.0,0.0,0.0,0,2.0,2000,2,5,10,14,1,1,2,6,2,12,4.0,2.8,1.2,0,0,0,0,1,0,0,1,0,1,0,,,,,
Noisy AG0,Random,Score Bounded,Robust,0.01,0.0,0.01,0,0.2,2000,2,6,12,17,2,2,2,7,2,22,4.17,2.83,1.33,1,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive History,NST,Score Bounded,Proportional Exp,0.0,0.87,0.435,0,0.5,2000,2,6,12,17,3,2,2,7,2,22,4.17,2.83,1.33,1,0,0,0,1,0,0,1,0,1,0,,,,,
AG0,MAST,MonteCarlo,MaxAvgScore,0.5,0.0,0.5,0,1.0,2000,2,0,7,7,1,1,4,7,7,9,2.0,2.0,0.0,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1 tuned,MAST,Score Bounded,MaxAvgScore,0.22,0.0,0.22,0,2.0,2000,2,8,18,25,1,1,2,9,4,20,4.56,2.78,1.78,0,0,0,0,1,0,0,1,0,1,0,,,,,
Noisy AG0,Random,MonteCarlo,Proportional Exp,0.0,0.0,0.0,0,0.2,2000,2,70,174,243,2,1,7,13,4,70,9.26,5.06,4.2,0,0,0,0,0,0,0,0,0,1,0,,,,,
